,searched keyword,title,link
0,ADBE 2020/06/11,How Cloud Solutions Brought Adobe to the Top,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzI2L2hvdy1jbG91ZC1zb2x1dGlvbnMtYnJvdWdodC1hZG9iZS10by10aGUtdG9wLmFzcHjSAV9odHRwczovL3d3dy5mb29sLmNvbS9hbXAvaW52ZXN0aW5nLzIwMjAvMDYvMjYvaG93LWNsb3VkLXNvbHV0aW9ucy1icm91Z2h0LWFkb2JlLXRvLXRoZS10b3AuYXNweA?hl=en-GB&gl=GB&ceid=GB%3Aen
1,ADBE 2020/06/11,Adobe stock rises as coronavirus work-from-home shift boosts subscription revenue,https://news.google.com/articles/CAIiEEKuzfAQnE2K_QVAfbzLPPMqGAgEKg8IACoHCAowjujJATDXzBUwiJS0AQ?hl=en-GB&gl=GB&ceid=GB%3Aen
2,ADBE 2020/06/11,"7 Stocks To Watch For June 11, 2020",https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzL2Vhcm5pbmdzLzIwLzA2LzE2MjI5NzQ0Lzctc3RvY2tzLXRvLXdhdGNoLWZvci1qdW5lLTExLTIwMjDSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
3,ADBE 2020/06/11,S&P 500 Earnings Preview - Adobe Headlines Thursday's Earnings Results,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmZ4ZW1waXJlLmNvbS9mb3JlY2FzdHMvYXJ0aWNsZS9zcC01MDAtZWFybmluZ3MtcHJldmlldy1hZG9iZS1oZWFkbGluZXMtdGh1cnNkYXlzLWVhcm5pbmdzLXJlc3VsdHMtNjU0NjE40gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
4,ADBE 2020/06/11,After-Hours Stock Movers 06/11: (LPTX) (PLAY) (ADBE) Higher; (PVH) (LULU) Lower (more...),https://news.google.com/articles/CBMisAFodHRwczovL3d3dy5zdHJlZXRpbnNpZGVyLmNvbS9TcGVjaWFsK1JlcG9ydHMvQWZ0ZXItSG91cnMrU3RvY2srTW92ZXJzKzA2MTElM0ErJTI4TFBUWCUyOSslMjhQTEFZJTI5KyUyOEFEQkUlMjkrSGlnaGVyJTNCKyUyOFBWSCUyOSslMjhMVUxVJTI5K0xvd2VyKyUyOG1vcmUuLi4lMjkvMTY5OTkwNDYuaHRtbNIBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
5,LLY 2020/06/11,"Stocks making the biggest moves in the premarket: Target, Regeneron, Amazon, Eli Lilly & more",https://news.google.com/articles/CAIiEHgL8BRnhbtm7LgBzCrJBHMqGQgEKhAIACoHCAow2Nb3CjDivdcCMM_rngY?hl=en-GB&gl=GB&ceid=GB%3Aen
6,LLY 2020/06/11,"Company News for Jun 11, 2020",https://news.google.com/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jb21wYW55LW5ld3MtanVuLTExLTIwMjAtMTMzNTAxNjU2Lmh0bWzSAU5odHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jb21wYW55LW5ld3MtanVuLTExLTIwMjAtMTMzNTAxNjU2Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
7,LLY 2020/06/11,What to watch today: Dow set to sink on concerns about a second wave of coronavirus in U.S.,https://news.google.com/articles/CAIiEHktJmKSV4bSzuGlBk6B9BkqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_d7gU?hl=en-GB&gl=GB&ceid=GB%3Aen
8,LLY 2020/06/11,"AbbVie Inks Deal With Genmab, Announces ADC Candidate Data",https://news.google.com/articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hYmJ2aWUtaW5rcy1kZWFsLWdlbm1hYi1hbm5vdW5jZXMtMTQ1NjAyMjA4Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9hYmJ2aWUtaW5rcy1kZWFsLWdlbm1hYi1hbm5vdW5jZXMtMTQ1NjAyMjA4Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
9,LLY 2020/06/11,Regeneron Begins Human Trials of a Potential COVID-19 Treatment,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzExL3JlZ2VuZXJvbi1iZWdpbnMtaHVtYW4tdHJpYWxzLW9mLWEtcG90ZW50aWFsLWNvdmlkLmFzcHjSAWVodHRwczovL3d3dy5mb29sLmNvbS9hbXAvaW52ZXN0aW5nLzIwMjAvMDYvMTEvcmVnZW5lcm9uLWJlZ2lucy1odW1hbi10cmlhbHMtb2YtYS1wb3RlbnRpYWwtY292aWQuYXNweA?hl=en-GB&gl=GB&ceid=GB%3Aen
10,NFLX 2020/06/26,"What’s New on Netflix UK Today: June 26th, 2020",https://news.google.com/articles/CAIiEFSE0insN27OscVWJMM8oIoqMwgEKioIACIQ7eLmlayILaWYM82KlExkCyoUCAoiEO3i5pWsiC2lmDPNipRMZAsw-ofDBg?hl=en-GB&gl=GB&ceid=GB%3Aen
11,NFLX 2020/06/26,"New Releases on Netflix & Top 10s: June 26th, 2020",https://news.google.com/articles/CAIiEAbjrzXAmqG1HdGjEBpnDKoqMwgEKioIACIQ7eLmlayILaWYM82KlExkCyoUCAoiEO3i5pWsiC2lmDPNipRMZAsw7ofDBg?hl=en-GB&gl=GB&ceid=GB%3Aen
12,NFLX 2020/06/26,"Sherlock Holmes is too nice in upcoming Netflix adaptation, lawsuit argues",https://news.google.com/articles/CAIiEPguVv23a-tfcqHZWECD8PgqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-GB&gl=GB&ceid=GB%3Aen
13,NFLX 2020/06/26,"Sorry, Netflix, You Missed Your Marketing Move 06/26/2020",https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lm1lZGlhcG9zdC5jb20vcHVibGljYXRpb25zL2FydGljbGUvMzUzMDY1L3NvcnJ5LW5ldGZsaXgteW91LW1pc3NlZC15b3VyLW1hcmtldGluZy1tb3ZlLmh0bWzSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
14,NFLX 2020/06/26,"What’s New on Netflix Canada This Week: June 26th, 2020",https://news.google.com/articles/CAIiEHq8fM9_lc7JSzq107azeIYqMwgEKioIACIQ7eLmlayILaWYM82KlExkCyoUCAoiEO3i5pWsiC2lmDPNipRMZAsw-4fDBg?hl=en-GB&gl=GB&ceid=GB%3Aen
15,PYPL 2020/06/11,"PayPal Holdings, Inc. (PYPL) Presents at RBC Financial Technology Conference (Transcript)",https://news.google.com/articles/CAIiEE8q7sE__XMcYkH6-6khO3YqFggEKg0IACoGCAowkqEGMJBZMNL5vAY?hl=en-GB&gl=GB&ceid=GB%3Aen
16,PYPL 2020/06/11,"PayPal, Apple and YouTube collectively pledge $730M to racial justice and equity efforts",https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5qb3NlL25ld3MvMjAyMC8wNi8xMS9wYXlwYWwtYXBwbGUteW91dHViZS1yYWNpYWwtanVzdGljZS1wbGVkZ2VzLmh0bWzSAWhodHRwczovL3d3dy5iaXpqb3VybmFscy5jb20vc2Fuam9zZS9uZXdzLzIwMjAvMDYvMTEvcGF5cGFsLWFwcGxlLXlvdXR1YmUtcmFjaWFsLWp1c3RpY2UtcGxlZGdlcy5hbXAuaHRtbA?hl=en-GB&gl=GB&ceid=GB%3Aen
17,PYPL 2020/06/11,PayPal Holdings Inc. (PYPL) is predicted to post EPS of 0.87 in the upcoming quarter : This Stock is Ticking Every Box for Top Investors,https://news.google.com/articles/CBMipgFodHRwczovL25ld3NkYWVtb24uY29tLzIwMjAvMDYvMTIvcGF5cGFsLWhvbGRpbmdzLWluYy1weXBsLWlzLXByZWRpY3RlZC10by1wb3N0LWVwcy1vZi0wLTg3LWluLXRoZS11cGNvbWluZy1xdWFydGVyLXRoaXMtc3RvY2staXMtdGlja2luZy1ldmVyeS1ib3gtZm9yLXRvcC1pbnZlc3RvcnMv0gGqAWh0dHBzOi8vbmV3c2RhZW1vbi5jb20vMjAyMC8wNi8xMi9wYXlwYWwtaG9sZGluZ3MtaW5jLXB5cGwtaXMtcHJlZGljdGVkLXRvLXBvc3QtZXBzLW9mLTAtODctaW4tdGhlLXVwY29taW5nLXF1YXJ0ZXItdGhpcy1zdG9jay1pcy10aWNraW5nLWV2ZXJ5LWJveC1mb3ItdG9wLWludmVzdG9ycy8_YW1w?hl=en-GB&gl=GB&ceid=GB%3Aen
18,PYPL 2020/06/11,PayPal Commits $530 Mln To Support Black And Minority-owned Businesses In U.S.,https://news.google.com/articles/CBMie2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGF5cGFsLWNvbW1pdHMtJTI0NTMwLW1sbi10by1zdXBwb3J0LWJsYWNrLWFuZC1taW5vcml0eS1vd25lZC1idXNpbmVzc2VzLWluLXUucy4tMjAyMC0wNi0xMdIBf2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGF5cGFsLWNvbW1pdHMtJTI0NTMwLW1sbi10by1zdXBwb3J0LWJsYWNrLWFuZC1taW5vcml0eS1vd25lZC1idXNpbmVzc2VzLWluLXUucy4tMjAyMC0wNi0xMT9hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen
19,PYPL 2020/06/11,"The Zacks Analyst Blog Highlights: Tesla, PayPal, Autodesk, Cadence and Splunk",https://news.google.com/articles/CAIiEE9WmesT5qGYNfcYywFumMQqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
20,UPS 2020/06/11,UPS grapples with Christmas-like shipping surge amid coronavirus,https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LnBvc3QtZ2F6ZXR0ZS5jb20vYnVzaW5lc3MvdGVjaC1uZXdzLzIwMjAvMDYvMTEvVVBTLXNoaXBwaW5nLXN1cmdlLWNvcm9uYXZpcnVzLUNocmlzdG1hcy1saWtlL3N0b3JpZXMvMjAyMDA2MTEwMDIz0gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
21,UPS 2020/06/11,Stocks post their worst day since March,https://news.google.com/articles/CAIiEBkuf6OX3i0l4K5X-GaNVrMqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-GB&gl=GB&ceid=GB%3Aen
22,UPS 2020/06/11,"Pandemic Ups The Ante For Digital Restaurant Orders, Delivery 06/24/2020",https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3Lm1lZGlhcG9zdC5jb20vcHVibGljYXRpb25zL2FydGljbGUvMzUyOTEwL3BhbmRlbWljLXVwcy10aGUtYW50ZS1mb3ItZGlnaXRhbC1yZXN0YXVyYW50LW9yZGVyLmh0bWzSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
23,UPS 2020/06/11,Nigerian Start-ups For Online Final Competition,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRoaXNkYXlsaXZlLmNvbS9pbmRleC5waHAvMjAyMC8wNi8xMS9uaWdlcmlhbi1zdGFydC11cHMtZm9yLW9ubGluZS1maW5hbC1jb21wZXRpdGlvbi_SAWVodHRwczovL3d3dy50aGlzZGF5bGl2ZS5jb20vaW5kZXgucGhwLzIwMjAvMDYvMTEvbmlnZXJpYW4tc3RhcnQtdXBzLWZvci1vbmxpbmUtZmluYWwtY29tcGV0aXRpb24vYW1wLw?hl=en-GB&gl=GB&ceid=GB%3Aen
24,UPS 2020/06/11,EGBA ups GDPR commitment with code of conduct,https://news.google.com/articles/CBMiWmh0dHBzOi8vc2JjbmV3cy5jby51ay9zcG9ydHNib29rLzIwMjAvMDYvMTEvZWdiYS11cHMtZ2Rwci1jb21taXRtZW50LXdpdGgtY29kZS1vZi1jb25kdWN0L9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
