,searched keyword,title,link
0,ACN 2020/06/26,"TOPIC PAGE: Coronavirus, oil price crash – impact on chemicals",https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmljaXMuY29tL2V4cGxvcmUvcmVzb3VyY2VzL25ld3MvMjAyMC8wNy8wMy8xMDUyNDg4MS90b3BpYy1wYWdlLWNvcm9uYXZpcnVzLW9pbC1wcmljZS1jcmFzaC1pbXBhY3Qtb24tY2hlbWljYWxz0gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
1,ACN 2020/06/26,"Company News for Jun 26, 2020",https://news.google.com/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jb21wYW55LW5ld3MtanVuLTI2LTIwMjAtMTMyODAxNjUwLmh0bWzSAU5odHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jb21wYW55LW5ld3MtanVuLTI2LTIwMjAtMTMyODAxNjUwLmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
2,ACN 2020/06/26,Accenture (NYSE:ACN) Target Raised by Citigroup Inc to $247.00,https://news.google.com/articles/CBMiWmh0dHBzOi8vc3RvY2ttYXJrZXRkYWlseS5jby8yMDIwLzA2LzI2L2FjY2VudHVyZS1ueXNlYWNuLXRhcmdldC1yYWlzZWQtYnktY2l0aWdyb3VwLWluYy0yL9IBXmh0dHBzOi8vc3RvY2ttYXJrZXRkYWlseS5jby8yMDIwLzA2LzI2L2FjY2VudHVyZS1ueXNlYWNuLXRhcmdldC1yYWlzZWQtYnktY2l0aWdyb3VwLWluYy0yL2FtcC8?hl=en-GB&gl=GB&ceid=GB%3Aen
3,ACN 2020/06/26,APE Announces Commencement of New Business Activity,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9wcmVzc3JlbGVhc2VzLzIwLzA2L2ExNjQwNzY3MS9hcGUtYW5ub3VuY2VzLWNvbW1lbmNlbWVudC1vZi1uZXctYnVzaW5lc3MtYWN0aXZpdHnSAS1odHRwczovL2FtcC5iZW56aW5nYS5jb20vYW1wL2NvbnRlbnQvMTY0MDc2NzE?hl=en-GB&gl=GB&ceid=GB%3Aen
4,ACN 2020/06/26,Accenture (NYSE:ACN) Target Raised by Susquehanna Bancshares Inc to $250.00,https://news.google.com/articles/CBMiZWh0dHBzOi8vc3RvY2ttYXJrZXRkYWlseS5jby8yMDIwLzA2LzI3L2FjY2VudHVyZS1ueXNlYWNuLXRhcmdldC1yYWlzZWQtYnktc3VzcXVlaGFubmEtYmFuY3NoYXJlcy1pbmMv0gFlaHR0cHM6Ly9zdG9ja21hcmtldGRhaWx5LmNvLzIwMjAvMDYvMjcvYWNjZW50dXJlLW55c2VhY24tdGFyZ2V0LXJhaXNlZC1ieS1zdXNxdWVoYW5uYS1iYW5jc2hhcmVzLWluYy8?hl=en-GB&gl=GB&ceid=GB%3Aen
5,AMGN 2020/06/26,Liberty Global (LBTYK) Shares Cross Below 200 DMA,https://news.google.com/articles/CAIiEMEe-DvV9t6pqqZLOLRRMVYqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw6_HMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
6,AMGN 2020/06/26,"IBD Live Q&A And Two Key Stock Lists For June 26, 2020",https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vcmVzZWFyY2gvaWJkLWxpdmUtcWEtYW5kLWxpc3RzanVuMjZ4MjAyMC_SAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
7,AMGN 2020/06/26,The Top-Ranked Dividend Growth Stocks In The Health Care Sector,https://news.google.com/articles/CAIiEGJJ5BvcqqCQbXYilCzqduUqFggEKg0IACoGCAowkqEGMJBZMNL5vAY?hl=en-GB&gl=GB&ceid=GB%3Aen
8,AMGN 2020/06/26,Molecular Partners hopes for COVID-19 rebound after eye drug failure,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbW9sZWN1bGFyLXBhcnRuZXJzLWhvcGVzLWZvci1jb3ZpZC0xOS1yZWJvdW5kLWFmdGVyLWV5ZS1kcnVnLWZhaWx1cmUtMjAyMC0wNi0yNtIBc2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbW9sZWN1bGFyLXBhcnRuZXJzLWhvcGVzLWZvci1jb3ZpZC0xOS1yZWJvdW5kLWFmdGVyLWV5ZS1kcnVnLWZhaWx1cmUtMjAyMC0wNi0yNj9hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen
9,AMGN 2020/06/26,"Active Stocks in Review: Kroger (NYSE:KR), Target (NYSE:TGT), California Resources (NYSE:CRC), Amgen, (NASDAQ:AMGN)",https://news.google.com/articles/CBMiiQFodHRwczovL3N0b2Nrc25ld3N3aXJlLmNvbS8yMDIwLzA2LzI2L2FjdGl2ZS1zdG9ja3MtaW4tcmV2aWV3LWtyb2dlci1ueXNla3ItdGFyZ2V0LW55c2V0Z3QtY2FsaWZvcm5pYS1yZXNvdXJjZXMtbnlzZWNyYy1hbWdlbi1uYXNkYXFhbWduL9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
10,DOW 2020/06/30,"Stock market live Tuesday: Dow best quarter since 1987, Nasdaq best since 1999, gold tops $1,800",https://news.google.com/articles/CAIiEOznkEZpIlS_qwbxocrQc3QqGQgEKhAIACoHCAow2Nb3CjDivdcCMM_rngY?hl=en-GB&gl=GB&ceid=GB%3Aen
11,DOW 2020/06/30,U.S. Stocks Surge to Notch Best Quarter Since 1998: Markets Wrap,https://news.google.com/articles/CAIiELD3_Ovvv-8fQpua4pMlS2UqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-GB&gl=GB&ceid=GB%3Aen
12,DOW 2020/06/30,Stocks Rise With Nasdaq at Record on Vaccine Hope: Markets Wrap,https://news.google.com/articles/CAIiEOsX3PJy3kpwA1sjPwwya5oqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-GB&gl=GB&ceid=GB%3Aen
13,DOW 2020/06/30,Dow closes out best quarter since 1987 – investors weigh in on what comes next,https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDYvMzAvZG93LWNsb3Nlcy1vdXQtYmVzdC1xdWFydGVyLXNpbmNlLTE5ODctaW52ZXN0b3JzLXdlaWdoLWluLW9uLXdoYXQtY29tZXMtbmV4dC5odG1s0gF1aHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjAvMDYvMzAvZG93LWNsb3Nlcy1vdXQtYmVzdC1xdWFydGVyLXNpbmNlLTE5ODctaW52ZXN0b3JzLXdlaWdoLWluLW9uLXdoYXQtY29tZXMtbmV4dC5odG1s?hl=en-GB&gl=GB&ceid=GB%3Aen
14,DOW 2020/06/30,5 things to know before the stock market opens Tuesday,https://news.google.com/articles/CAIiEDygJyfsXrXkKLuXfK-ZsjwqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_5ngY?hl=en-GB&gl=GB&ceid=GB%3Aen
15,FDX 2020/06/26,Breakingviews - Remittance woes will transfer from poor to rich,https://news.google.com/articles/CAIiEJP54qfcWWXR02VWoQzcRSUqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
16,FDX 2020/06/26,Stocks Rise Over 1% as Banks Spark Late Rally,https://news.google.com/articles/CAIiEBTeF7saFrjYOXCXIYqrtIAqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
